Province/State,Country/Region,Last Update,Confirmed,Deaths,Recovered,Latitude,Longitude
,Australia,2020-04-16 07:38:23,6521,66,3785,-25.0,133.0
,Austria,2020-04-16 07:38:23,14476,410,8986,47.5162,14.5501
,Canada,2020-04-16 07:38:23,30973,1231,9729,60.001000000000005,-95001
,China,2020-04-16 07:38:23,83756,4636,77503,30.5928,114.3055
,Denmark,2020-04-16 07:38:23,7074,321,3205,56.0,10.0
,Finland,2020-04-16 07:38:23,3369,75,1700,61.9241,25.7482
,France,2020-04-16 07:38:23,147091,17941,33327,46.2276,2.2137
,Germany,2020-04-16 07:38:23,137698,4052,81800,51.1657,10.4515
,Iceland,2020-04-16 07:38:23,1739,8,1144,64.9631,-19.0208
,Ireland,2020-04-16 07:38:23,13271,486,77,53.1424,-7.6921
,Italy,2020-04-16 07:38:23,168941,22170,40164,41.8719,12.5674
,Netherlands,2020-04-16 07:38:23,29383,3327,311,52.3167,5.55
,Norway,2020-04-16 07:38:23,6905,152,32,60472,8.4689
,Russia,2020-04-16 07:38:23,27938,232,2304,61.523999999999994,105.3188
,Sweden,2020-04-16 07:38:23,12540,1333,550,60.1282,18.6435
,Switzerland,2020-04-16 07:38:23,26732,1281,15900,46.8182,8.2275
,United Kingdom,2020-04-16 07:38:23,104148,13759,377,55.0,-3.0
,US,2020-04-16 07:38:23,671425,33286,56236,40.0,-100.0
,Afghanistan,2020-04-16 07:38:23,906,30,99,33.93911,67.709953
,Albania,2020-04-16 07:38:23,518,26,277,41.1533,20.1683
,Algeria,2020-04-16 07:38:23,2268,348,783,28.0339,1.6596
,Andorra,2020-04-16 07:38:23,682,33,169,42.5063,1.5218
,Angola,2020-04-16 07:38:23,19,2,5,-11.2027,17.8739
,Antigua and Barbuda,2020-04-16 07:38:23,23,3,3,17.0608,-61.7964
,Argentina,2020-04-16 07:38:23,2669,122,631,-38.4161,-63.6167
,Armenia,2020-04-16 07:38:23,1201,19,402,40.0691,45.0382
,Azerbaijan,2020-04-16 07:38:23,1283,15,460,40.1431,47.5769
,Bahamas,2020-04-16 07:38:23,53,8,6,25.025885,-78.035889
,Bahrain,2020-04-16 07:38:23,1700,7,703,26.0275,50.55
,Bangladesh,2020-04-16 07:38:23,1572,60,49,23685,90.3563
,Barbados,2020-04-16 07:38:23,75,5,15,13.1939,-59.5432
,Belarus,2020-04-16 07:38:23,4204,40,203,53.7098,27.9534
,Belgium,2020-04-16 07:38:23,34809,4857,7562,50.8333,4.469936
,Belize,2020-04-16 07:38:23,18,2,0,17.1899,-88.4976
,Benin,2020-04-16 07:38:23,35,1,18,9.3077,2.3158
,Bhutan,2020-04-16 07:38:23,5,0,2,27.5142,90.4336
,Bolivia,2020-04-16 07:38:23,465,31,26,-16.2902,-63.5887
,Bosnia and Herzegovina,2020-04-16 07:38:23,1167,43,277,43.9159,17.6791
,Botswana,2020-04-16 07:38:23,15,1,0,-22.3285,24.6849
,Brazil,2020-04-16 07:38:23,30891,1952,14026,-14235,-51.9253
,Brunei,2020-04-16 07:38:23,136,1,108,4.5353,114.7277
,Bulgaria,2020-04-16 07:38:23,825,40,141,42.7339,25.4858
,Burkina Faso,2020-04-16 07:38:23,546,32,257,12.2383,-1.5616
,Burma,2020-04-16 07:38:23,85,4,2,21.9162,95956
,Burundi,2020-04-16 07:38:23,5,1,0,-3.3731,29.9189
,Cabo Verde,2020-04-16 07:38:23,56,1,1,16.5388,-23.0418
,Cambodia,2020-04-16 07:38:23,122,0,98,11.55,104.9167
,Cameroon,2020-04-16 07:38:23,996,22,164,3848,11.5021
,Central African Republic,2020-04-16 07:38:23,12,0,4,6.6111,20.9394
,Chad,2020-04-16 07:38:23,27,0,5,15.4542,18.7322
